user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet,sentiment_label,column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10
Time4fisticuffs,"Pewee Valley, KY",#Christian #Catholic #Conservative #Reagan #Republican #Capitalist; Sports lover - #BBN #Cincinnati #Reds #Bengals #Trump2020,2/28/2009 18:57,9275,9525,7254,FALSE,7/25/2020 12:27,diane wdunlap realdonaldtrump trump never claimed covid hoax claim effort,['COVID19'],Twitter for Android,FALSE,Neutral,1,,,,,,,,,
ethel mertz,Stuck in the Middle ,#Browns #Indians #ClevelandProud #[]_[] #Cavs #Resist,3/7/2019 1:45,197,987,1488,FALSE,7/25/2020 12:27,brookbanktv one gift covid give appreciation simple thing always around,['COVID19'],Twitter for iPhone,FALSE,Neutral,2,,,,,,,,,
DIPR-J&K,Jammu and Kashmir,"🖊️Official Twitter handle of Department of Information and Public Relations, Govt of Jammu & Kashmir",2/12/2017 6:45,101009,168,101,FALSE,7/25/2020 12:27,july medium bulletin novel coronavirusupdates covid kansalrohit drsyedsehrish airnewsalerts ani,"['CoronaVirusUpdates', 'COVID19']",Twitter for Android,FALSE,Neutral,3,,,,,,,,,
🎹 Franz Schubert,Новоро́ссия,"🎼  #Новоро́ссия #Novorossiya #оставайсядома #STAYatHOME Polymath, composer, English.",3/19/2018 16:29,1180,1071,1287,FALSE,7/25/2020 12:27,coronavirus covid death continue rise almost bad ever politician business want,"['coronavirus', 'covid19']",Twitter Web App,FALSE,Sad,4,,,,,,,,,
hr bartender,"Gainesville, FL",Workplace tips and advice served up in a friendly place. Corporate blog of @ITMGroup by @Sharlyn_Lauby. Cheers!,8/12/2008 18:19,79956,54810,3801,FALSE,7/25/2020 12:27,covid change work general recruiting specifically via proactivetalent recruiting,"['COVID19', 'Recruiting']",Buffer,FALSE,Neutral,5,,,,,,,,,
Member of Christ 🇨🇳🇺🇸🇮🇳🇮🇩🇧🇷🇳🇬🇧🇩🇷🇺,👇🏻location at link below👇🏻,"Just as the body is one & has many members, & all the members of the body, though many, are one body, so it is with Christ. 1 Corinthians 12:12",8/17/2014 4:53,55201,34239,29802,FALSE,7/25/2020 12:26,pope god prophet sadhu sundar selvaraj watch hurricanehanna covid,"['HurricaneHanna', 'COVID19']",Twitter for iPhone,FALSE,Neutral,6,,,,,,,,,
SEXXYLYPPS,Hotel living - various cities!  Who needs a home when hotel living is so fabulous!,"My ink ""My Way...No Regrets""
Always Make Happiness Your #1 Priority",3/25/2010 21:16,0,8,32,FALSE,7/25/2020 12:26,wavinghandlightskintonepattyhajdu navdeepsbains one safe covid everyone safe commit ensure,['COVID19'],Twitter Web App,FALSE,Joy,7,,,,,,,,,
Africa Youth Advisory Board on DRR,Africa,Official account of the Africa Youth Advisory Board on Disaster Risk Reduction (DRR) of @_AfricanUnion . Facilitating meaningful engagement of African Youth.,5/13/2019 6:27,830,254,3692,FALSE,7/25/2020 12:26,let protect covid real number climbing fast continent let n,['COVID19'],Twitter Web App,FALSE,Joy,8,,,,,,,,,
Dimapur 24/7.,"Nagaland, India","strive to promote Truth with Integrity.
https://t.co/pOqdhk6Mhg",11/11/2019 12:02,274,32,378,FALSE,7/25/2020 12:26,nagaland police covid awareness city tower junction dimapur covid keepsocialdistance,"['Covid19', 'keepsocialdistance']",Twitter for Android,FALSE,Neutral,9,,,,,,,,,
marc goovaerts🇪🇺🏳️‍🌈,Brussels,"Progressive mind. Flemish. Into movies, politics, travelling, swimming, gym, massage and Indonesia",6/13/2009 13:48,283,1432,1546,FALSE,7/25/2020 12:26,second wave covid flandersback homework,"['COVID19', 'homework']",Twitter for Android,FALSE,Joy,10,,,,,,,,,
